	organism	tem_range
8164	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8165	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8166	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8167	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8168	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8169	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8170	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8171	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8172	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8173	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8174	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8175	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8176	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8177	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8178	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8179	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8180	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8181	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8182	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8183	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8184	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8185	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8186	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8187	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8188	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8189	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8190	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8191	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8192	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8193	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8194	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8195	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8196	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8197	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8198	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8199	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8200	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8201	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8202	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8203	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8204	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8205	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8206	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8207	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8208	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8209	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8210	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8211	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8212	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8213	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8214	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8215	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8216	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8217	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8218	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8219	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8220	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8221	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8222	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8223	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8224	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8225	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8226	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8227	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8228	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8229	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8230	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8231	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8232	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8233	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8234	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8235	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8236	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8237	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8238	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8239	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8240	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8241	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8242	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8243	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8244	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8245	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8246	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8247	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8248	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8249	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8250	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8251	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8252	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8253	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8254	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8255	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8256	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8257	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8258	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8259	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8260	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8261	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8262	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8263	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8264	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8265	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8266	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8267	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8268	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8269	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8270	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8271	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8272	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8273	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8274	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8275	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8276	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8277	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8278	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8279	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8280	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8281	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8282	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8283	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8284	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8285	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8286	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8287	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8288	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8289	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8290	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8291	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8292	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8293	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8294	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8295	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8296	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8297	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8298	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8299	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8300	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8301	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8302	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8303	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8304	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8305	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8306	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8307	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8308	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8309	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8310	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8311	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8312	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8313	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8314	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8315	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8316	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8317	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8318	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8319	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8320	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8321	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8322	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8323	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8324	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8325	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8326	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8327	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8328	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8329	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8330	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8331	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8332	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8333	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8334	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8335	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8336	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8337	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8338	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8339	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8340	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8341	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8342	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8343	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8344	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8345	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8346	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8347	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8348	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8349	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8350	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8351	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8352	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8353	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8354	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8355	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8356	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8357	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8358	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8359	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8360	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8361	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8362	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8363	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8364	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8365	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8366	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8367	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8368	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8369	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8370	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8371	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8372	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8373	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8374	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8375	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8376	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8377	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8378	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8379	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8380	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8381	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8382	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8383	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8384	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8385	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8386	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8387	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8388	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8389	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8390	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8391	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8392	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8393	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8394	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8395	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8396	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8397	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8398	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8399	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8400	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8401	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8402	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8403	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8404	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8405	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8406	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8407	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8408	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8409	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8410	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8411	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8412	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8413	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8414	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8415	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8416	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8417	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8418	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8419	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8420	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8421	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8422	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8423	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8424	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8425	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8426	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8427	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8428	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8429	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8430	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8431	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8432	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8433	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8434	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8435	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8436	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8437	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8438	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8439	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8440	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8441	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8442	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8443	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8444	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8445	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8446	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8447	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8448	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8449	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8450	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8451	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8452	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8453	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8454	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8455	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8456	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8457	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8458	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8459	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8460	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8461	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8462	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8463	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8464	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8465	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8466	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8467	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8468	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8469	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8470	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8471	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8472	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8473	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8474	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8475	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8476	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8477	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8478	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8479	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8480	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8481	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8482	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8483	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8484	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8485	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8486	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8487	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8488	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8489	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8490	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8491	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8492	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8493	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8494	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8495	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8496	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8497	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8498	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8499	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8500	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8501	Corallococcus coralloides (Thaxter 1892) Reichenbach 2007	mesophilic
8502	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8503	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8504	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8505	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8506	Corallococcus exiguus (ex Kofler 1913) Reichenbach 2007	mesophilic
8507	Corallococcus macrosporus Reichenbach 2007	mesophilic
8508	Corallococcus macrosporus Reichenbach 2007	mesophilic
8509	Corallococcus macrosporus Reichenbach 2007	mesophilic
8510	Corallococcus macrosporus Reichenbach 2007	mesophilic
8511	Corallococcus macrosporus Reichenbach 2007	mesophilic
8512	Corallococcus macrosporus Reichenbach 2007	mesophilic
8513	Corallococcus macrosporus Reichenbach 2007	mesophilic
8514	Corallococcus macrosporus Reichenbach 2007	mesophilic
8515	Corallococcus macrosporus Reichenbach 2007	mesophilic
8516	Corallococcus macrosporus Reichenbach 2007	mesophilic
8517	Corallococcus macrosporus Reichenbach 2007	mesophilic
8518	Corallococcus macrosporus Reichenbach 2007	mesophilic
8519	Corallococcus macrosporus Reichenbach 2007	mesophilic
8520	Corallococcus macrosporus Reichenbach 2007	mesophilic
8521	Corallococcus macrosporus Reichenbach 2007	mesophilic
